,ts_code,name,start_date,end_date,change_reason
5,000017.SZ,*ST中华A,20050509,20061008,*ST
6,000017.SZ,ST中华A,19990504,20050508,ST
7,000017.SZ,深中华A,19920331,19990503,其他
,ts_code,name,start_date,end_date,change_reason
0,000018.SZ,*ST神城,20190506,,*ST
1,000018.SZ,神州长城,20151207,20190505,改名
2,000018.SZ,中冠A,20140313,20151206,撤销*ST
3,000018.SZ,*ST中冠A,20130424,20140312,*ST
4,000018.SZ,ST中冠A,20100531,20130423,摘星
5,000018.SZ,*ST中冠A,20090424,20100530,*ST
6,000018.SZ,ST中冠A,20070828,20090423,ST
7,000018.SZ,深中冠A,20061009,20070827,摘G
8,000018.SZ,G深中冠,20060616,20061008,完成股改
9,000018.SZ,深中冠A,19920616,20060615,其他
,ts_code,name,start_date,end_date,change_reason
0,000019.SZ,深粮控股,20190228,,改名
1,000019.SZ,深深宝A,20061009,20190227,摘G
2,000019.SZ,G深宝A,20060727,20061008,完成股改
3,000019.SZ,深深宝A,19921012,20060726,其他
,ts_code,name,start_date,end_date,change_reason
0,000020.SZ,深华发A,20090519,,撤销ST
1,000020.SZ,ST华发A,20070518,20090518,完成股改
2,000020.SZ,SST华发A,20061122,20070517,摘星
3,000020.SZ,S*ST华发,20061009,20061121,未股改加S
4,000020.SZ,*ST华发A,20050429,20061008,*ST
5,000020.SZ,ST华发A,20040427,20050428,ST
6,000020.SZ,深华发A,20000329,20040426,撤销ST
7,000020.SZ,ST华发A,19990427,20000328,ST
8,000020.SZ,深华发A,19920428,19990426,其他
,ts_code,name,start_date,end_date,change_reason
0,000021.SZ,深科技,20150105,,其他
1,000021.SZ,长城开发,20061027,20150104,其他
2,000021.SZ,深科技A,20061009,20061026,摘G
3,000021.SZ,G深科技,20060522,20061008,完成股改
4,000021.SZ,深科技A,19940202,20060521,其他
,ts_code,name,start_date,end_date,change_reason
0,000023.SZ,深天地A,20061009,,摘G
1,000023.SZ,G深天地,20060317,20061008,完成股改
2,000023.SZ,深天地A,19930429,20060316,其他
,ts_code,name,start_date,end_date,change_reason
0,000025.SZ,特力A,20061009,,摘G
1,000025.SZ,G特力A,20060308,20061008,撤销ST
2,000025.SZ,GST特力A,20060104,20060307,完成股改
3,000025.SZ,ST特力A,20000419,20060103,ST
4,000025.SZ,深特力A,19930621,20000418,其他
,ts_code,name,start_date,end_date,change_reason
0,000026.SZ,飞亚达A,20071109,,完成股改
1,000026.SZ,S飞亚达A,20061009,20071108,未股改加S
2,000026.SZ,飞亚达A,19930603,20061008,其他
,ts_code,name,start_date,end_date,change_reason
0,000027.SZ,深圳能源,20071220,,其他
1,000027.SZ,深能源A,20061009,20071219,摘G
2,000027.SZ,G深能源,20060426,20061008,完成股改
3,000027.SZ,深能源A,19930903,20060425,其他
,ts_code,name,start_date,end_date,change_reason
0,000028.SZ,国药一致,20120104,,改名
1,000028.SZ,一致药业,20061009,20120103,摘G
2,000028.SZ,G一致,20060428,20061008,完成股改
3,000028.SZ,一致药业,20010622,20060427,改名
4,000028.SZ,深益力A,19930809,20010621,其他
,ts_code,name,start_date,end_date,change_reason
0,000029.SZ,深深房A,20061009,,摘G
1,000029.SZ,G深深房,20060217,20061008,完成股改
2,000029.SZ,深深房A,19930915,20060216,其他
,ts_code,name,start_date,end_date,change_reason
0,000030.SZ,富奥股份,20130424,,摘星改名
1,000030.SZ,*ST盛润A,20090409,20130423,*ST
2,000030.SZ,ST盛润A,20081229,20090408,完成股改
3,000030.SZ,SST盛润,20081031,20081228,摘星
4,000030.SZ,S*ST盛润,20061009,20081030,未股改加S
5,000030.SZ,*ST盛润A,20060404,20061008,*ST
6,000030.SZ,ST盛润A,20040420,20060403,摘星
7,000030.SZ,*ST盛润A,20030512,20040419,*ST
8,000030.SZ,ST盛润A,20020719,20030511,改名
9,000030.SZ,ST英达A,19980615,20020718,ST
10,000030.SZ,莱英达A,19930929,19980614,其他
,ts_code,name,start_date,end_date,change_reason
0,000031.SZ,大悦城,20190327,,改名
1,000031.SZ,中粮地产,20061009,20190326,摘G
2,000031.SZ,G中粮地,20060425,20061008,改名
3,000031.SZ,G宝恒,20060214,20060424,完成股改
