,S代码,��告期,��营业务来源,��营业务收入(元),��营业务利润(元),��营业务成本(元),��币代码
59,600000.SH,20170630,利息收入:发放贷款及垫款:票据贴现业务(产品),878000000.0,,,CNY
60,600000.SH,20170630,非利息收入:手续费及佣金收入:托管及其他受托业务(产品),3646000000.0,,,CNY
61,600000.SH,20170630,非利息收入:手续费及佣金收入:财务顾问业务(产品),8120000000.0,,,CNY
62,600000.SH,20170630,非利息收入:手续费及佣金收入:担保承诺业务(产品),1233000000.0,,,CNY
63,600000.SH,20170630,非利息收入:手续费及佣金收入:结算业务(产品),594000000.0,,,CNY
64,600000.SH,20170630,非利息收入:手续费及佣金收入:投行业务手续费(产品),1961000000.0,,,CNY
65,600000.SH,20170630,利息收入:拆出资金(产品),2024000000.0,,,CNY
66,600000.SH,20170630,非利息收入:手续费及佣金收入:银行卡业务(产品),8099000000.0,,,CNY
67,600000.SH,20170630,利息收入:存放同业和其他金融机构款项(产品),2355000000.0,,,CNY
68,600000.SH,20170630,利息收入:发放贷款及垫款:公司贷款业务(产品),40398000000.0,,,CNY
69,600000.SH,20170630,利息收入:买入返售金融资产(产品),531000000.0,,,CNY
70,600000.SH,20170630,利息收入:发放贷款及垫款(产品),73267000000.0,,,CNY
71,600000.SH,20170630,利息收入:其他(产品),244000000.0,,,CNY
72,600000.SH,20170630,利息收入:债券投资(产品),35549000000.0,,,CNY
73,600000.SH,20170630,非利息收入:手续费及佣金收入:代理委托业务(产品),1070000000.0,,,CNY
74,600000.SH,20170630,利息收入:租赁业务(产品),903000000.0,,,CNY
75,600000.SH,20161231,利息收入:存放同业和其他金融机构款项(产品),2688000000.0,,,CNY
76,600000.SH,20161231,利息收入:发放贷款及垫款:公司贷款业务(产品),79751000000.0,,,CNY
77,600000.SH,20161231,利息收入:发放贷款及垫款:个人贷款业务(产品),36918000000.0,,,CNY
78,600000.SH,20161231,非利息收入:手续费及佣金收入:银行卡业务(产品),12670000000.0,,,CNY
79,600000.SH,20161231,非利息收入:手续费及佣金收入:代理委托业务(产品),1938000000.0,,,CNY
80,600000.SH,20161231,非利息收入:手续费及佣金收入:担保承诺业务(产品),2261000000.0,,,CNY
81,600000.SH,20161231,利息收入:存放中央银行款项(产品),7422000000.0,,,CNY
82,600000.SH,20161231,利息收入:发放贷款及垫款:票据贴现业务(产品),2562000000.0,,,CNY
