,TS股票代码,公告日期,实际公告日期,报告期,报表类型,公司类型,期末总股本,资本公积金,盈余公积金,专项储备,货币资金,交易性金融资产,应收票据,应收账款,其他应收款,预付款项,应收股利,应收利息,存货,长期待摊费用,一年内到期的非流动资产,结算备付金,拆出资金,应收保费,应收分保账款,应收分保合同准备金,买入返售金融资产,其他流动资产,流动资产合计,可供出售金融资产,持有至到期投资,长期股权投资,投资性房地产,定期存款,其他资产,长期应收款,固定资产,在建工程,工程物资,固定资产清理,生产性生物资产,油气资产,无形资产,研发支出,商誉,长期待摊费用,递延所得税资产,发放贷款及垫款,其他非流动资产,非流动资产合计,现金及存放中央银行款项,存放同业和其它金融机构款项,贵金属,衍生金融资产,应收分保未到期责任准备金,应收分保未决赔款准备金,应收分保寿险责任准备金,应收分保长期健康险责任准备金,存出保证金,保户质押贷款,存出资本保证金,独立账户资产,其中：客户资金存款,其中：客户备付金,其中:交易席位费,应收款项类投资,资产总计,长期借款,短期借款,向中央银行借款,吸收存款及同业存放,拆入资金,交易性金融负债,应付票据,应付账款,预收款项,卖出回购金融资产款,应付手续费及佣金,应付职工薪酬,应交税费,应付利息,应付股利,其他应付款,预提费用,递延收益,应付短期债券,应付分保账款,保险合同准备金,代理买卖证券款,代理承销证券款,一年内到期的非流动负债,其他流动负债,流动负债合计,应付债券,长期应付款,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,同业和其它金融机构存放款项,衍生金融负债,吸收存款,代理业务负债,其他负债,预收保费,存入保证金,保户储金及投资款,未到期责任准备金,未决赔款准备金,寿险责任准备金,长期健康险责任准备金,独立账户负债,其中:质押借款,应付赔付款,应付保单红利,负债合计,减:库存股,一般风险准备,外币报表折算差额,未确认的投资损失,少数股东权益,股东权益合计(不含少数股东权益),股东权益合计(含少数股东权益),负债及股东权益总计,长期应付职工薪酬,其他综合收益,其他权益工具,其他权益工具(优先股),融出资金,应收款项,应付短期融资款,应付款项,持有待售的资产,持有待售的负债,更新标识
0,600000.SH,20180428,20180428,20180331,1,2,29352000000.0,81760000000.0,94198000000.0,,,361167000000.0,,,,,,35723000000.0,,,,,111719000000.0,,,,100000000.0,,,,,1025000000.0,,,130690000000.0,,26032000000.0,,,,,,3376000000.0,,6981000000.0,,37954000000.0,3139524000000.0,,,467266000000.0,105770000000.0,6817000000.0,47475000000.0,,,,,,,,,,,,,6132993000000.0,,,204261000000.0,,157035000000.0,37087000000.0,,,,123195000000.0,,8107000000.0,24942000000.0,38891000000.0,,,,,,,,,,,,,649673000000.0,,,4184000000.0,665000000.0,,,,1154340000000.0,52128000000.0,3175683000000.0,,67975000000.0,,,,,,,,,,,,5698180000000.0,,75795000000.0,,,6593000000.0,428220000000.0,434813000000.0,6132993000000.0,,-1228000000.0,29920000000.0,29920000000.0,,,,,,,1
1,600000.SH,20180428,20180428,20171231,1,2,29352000000.0,81760000000.0,94198000000.0,,,162866000000.0,,,,,,31094000000.0,,,,,80839000000.0,,,,13974000000.0,,,664508000000.0,444726000000.0,1006000000.0,,,114567000000.0,,25140000000.0,,,,,,3299000000.0,,6981000000.0,,29022000000.0,3103853000000.0,,,486531000000.0,96348000000.0,10261000000.0,28264000000.0,,,,,,,,,,,,832598000000.0,6137240000000.0,,,182387000000.0,,138782000000.0,28333000000.0,,,,184464000000.0,,7911000000.0,20034000000.0,35064000000.0,,,,,,,,,,,,,686296000000.0,,,,680000000.0,,,,1314318000000.0,30034000000.0,3037936000000.0,,40002000000.0,,,,,,,,,,,,5706255000000.0,,75702000000.0,,,5581000000.0,425404000000.0,430985000000.0,6137240000000.0,,-5335000000.0,29920000000.0,29920000000.0,,,,,,,0
